Section,Stat,Value
SM 13,SFU Instructions,744
SM 31,Cycles,101457
SM 78,SPU Instructions,0
SM 40,IMU Instructions,128
SM 60,BRU Instructions,96
SM 75,Cycles,101457
SM 48,InstructionsPerCycle,0
SM 26,BlockCount,2
SM 83,IMU Instructions,88
Config.BRU,WriteLatency,5
SM 62,IMU Instructions,104
SM 18,RegistersWrites,0
SM 8,BRU Instructions,152
SM 63,RegistersReads,0
SM 65,LDS Instructions,48
SM 65,Cycles,101457
SM 72,BlockCount,1
SM 76,SFU Instructions,552
SM 33,IMU Instructions,128
SM 73,SFU Instructions,552
SM 82,InstructionsPerCycle,0
SM 19,LDS Instructions,104
SM 49,SFU Instructions,536
SM 61,BlockCount,1
SM 34,LDS Instructions,96
SM 79,IMU Instructions,88
SM 49,Cycles,101457
Device,Cycles,101457
SM 82,RegistersWrites,0
SM 1,Cycles,101457
SM 45,RegistersReads,0
SM 70,BRU Instructions,96
SM 40,RegistersWrites,0
SM 47,BRU Instructions,56
SM 60,InstructionsPerCycle,0
SM 22,IMU Instructions,168
SM 58,RegistersWrites,0
SM 47,Cycles,101457
SM 70,BlockCount,1
SM 51,SPU Instructions,0
SM 79,SFU Instructions,552
SM 80,InstructionsPerCycle,0
SM 3,RegistersWrites,0
SM 14,SPU Instructions,0
SM 29,Cycles,101457
SM 9,LDS Instructions,88
Config.BRU,ReadLatency,5
SM 11,RegistersWrites,0
SM 72,SFU Instructions,552
SM 30,SFU Instructions,1320
SM 67,Cycles,101457
SM 37,InstructionsPerCycle,0
SM 48,BRU Instructions,96
SM 13,RegistersWrites,0
SM 6,Cycles,101457
SM 42,RegistersReads,0
SM 67,BlockCount,1
SM 29,SPU Instructions,0
SM 69,LDS Instructions,48
SM 22,SFU Instructions,1000
SM 33,InstructionsPerCycle,0
SM 18,BRU Instructions,272
SM 58,IMU Instructions,104
SM 49,LDS Instructions,48
SM 48,RegistersWrites,0
Config.FrontEnd,DispatchWidth,5
SM 23,BRU Instructions,272
SM 63,InstructionsPerCycle,0
SM 64,BlockCount,1
SM 18,LDS Instructions,104
SM 73,LDS Instructions,48
SM 67,BRU Instructions,96
SM 15,BRU Instructions,152
SM 35,Cycles,101457
SM 21,BlockCount,2
SM 52,BlockCount,1
SM 63,Cycles,101457
SM 68,IMU Instructions,88
SM 54,IMU Instructions,104
SM 66,BlockCount,1
SM 71,BRU Instructions,96
SM 76,Cycles,101457
Config.SPU,Width,1
SM 64,IMU Instructions,88
SM 5,BRU Instructions,152
SM 59,SPU Instructions,0
SM 28,SFU Instructions,1320
SM 40,RegistersReads,0
SM 30,IMU Instructions,208
SM 61,SFU Instructions,536
SM 83,SFU Instructions,552
SM 73,DPU Instructions,0
SM 22,LDS Instructions,104
SM 37,IMU Instructions,128
SM 40,DPU Instructions,24
SM 17,SFU Instructions,1000
Config.SFU,WriteBufferSize,1
SM 2,DPU Instructions,0
SM 36,SPU Instructions,0
SM 37,DPU Instructions,24
SM 15,RegistersReads,0
SM 18,SPU Instructions,0
SM 65,DPU Instructions,0
SM 20,IMU Instructions,168
SM 35,DPU Instructions,24
SM 76,SPU Instructions,0
SM 50,InstructionsPerCycle,0
SM 6,RegistersReads,0
SM 48,DPU Instructions,0
SM 68,RegistersWrites,0
SM 0,Cycles,101457
SM 75,RegistersReads,0
SM 65,InstructionsPerCycle,0
SM 40,LDS Instructions,96
SM 59,BRU Instructions,96
SM 31,SPU Instructions,0
SM 57,RegistersWrites,0
SM 72,RegistersWrites,0
Config.IMU,ExecutionLatency,1
SM 53,BRU Instructions,96
SM 29,DPU Instructions,24
SM 25,RegistersReads,0
SM 34,BRU Instructions,176
SM 13,IMU Instructions,96
SM 21,BRU Instructions,272
SM 11,InstructionsPerCycle,0
SM 40,SFU Instructions,1088
SM 51,Cycles,101457
SM 14,Cycles,101457
SM 0,SFU Instructions,800
Config.SPU,WriteBufferSize,1
SM 20,SFU Instructions,1000
SM 26,SPU Instructions,0
SM 60,SFU Instructions,536
Device,instructionsPerCycle,0
SM 39,DPU Instructions,24
SM 22,BlockCount,2
SM 34,Cycles,101457
SM 13,Cycles,101457
SM 25,RegistersWrites,0
SM 42,LDS Instructions,96
SM 70,RegistersReads,0
SM 67,SFU Instructions,552
SM 73,InstructionsPerCycle,0
SM 37,BlockCount,2
SM 16,DPU Instructions,0
Config.IMU,DispatchBufferSize,2
SM 74,Cycles,101457
SM 28,RegistersWrites,0
Config.SPU,DispatchBufferSize,2
SM 9,BRU Instructions,152
SM 32,InstructionsPerCycle,0
SM 0,RegistersWrites,0
SM 34,RegistersReads,0
SM 77,RegistersReads,0
SM 82,BRU Instructions,96
SM 31,RegistersReads,0
SM 69,BlockCount,1
SM 62,InstructionsPerCycle,0
SM 12,DPU Instructions,0
SM 66,Cycles,101457
SM 23,LDS Instructions,104
SM 16,BRU Instructions,272
SM 18,BlockCount,2
SM 53,LDS Instructions,48
Config.SFU,ReadBufferSize,1
SM 60,DPU Instructions,0
SM 77,RegistersWrites,0
SM 66,BRU Instructions,96
SM 44,SPU Instructions,0
Config.IMU,ExecutionBufferSize,1
SM 34,SFU Instructions,1088
SM 1,SPU Instructions,0
SM 55,RegistersWrites,0
SM 70,Cycles,101457
SM 21,RegistersWrites,0
SM 43,SPU Instructions,0
SM 9,BlockCount,2
SM 63,BlockCount,1
SM 42,Cycles,101457
SM 64,RegistersReads,0
SM 16,InstructionsPerCycle,0
SM 35,RegistersWrites,0
SM 19,SPU Instructions,0
SM 22,RegistersReads,0
SM 32,BlockCount,2
Config.BRU,NumSPULanes,32
SM 68,SPU Instructions,0
SM 0,BlockCount,2
SM 72,BRU Instructions,96
SM 83,InstructionsPerCycle,0
SM 13,BRU Instructions,152
SM 58,Cycles,101457
SM 15,SFU Instructions,744
SM 71,InstructionsPerCycle,0
Device,Instructions,0
SM 23,SPU Instructions,0
SM 36,IMU Instructions,128
SM 67,LDS Instructions,48
SM 75,IMU Instructions,88
SM 7,DPU Instructions,0
SM 72,Cycles,101457
SM 7,RegistersReads,0
Config.BRU,WriteBufferSize,5
SM 17,InstructionsPerCycle,0
SM 55,RegistersReads,0
SM 79,RegistersReads,0
SM 62,BlockCount,1
SM 14,DPU Instructions,0
SM 15,DPU Instructions,0
SM 74,RegistersReads,0
SM 38,InstructionsPerCycle,0
SM 77,BRU Instructions,96
SM 70,SPU Instructions,0
SM 76,InstructionsPerCycle,0
SM 3,Cycles,101457
SM 27,LDS Instructions,104
SM 61,SPU Instructions,0
Config.DPU,DispatchBufferSize,2
SM 8,SFU Instructions,800
SM 46,IMU Instructions,40
SM 25,DPU Instructions,0
SM 32,BRU Instructions,176
SM 7,IMU Instructions,136
SM 33,BlockCount,2
SM 76,BRU Instructions,96
SM 82,IMU Instructions,88
SM 18,SFU Instructions,1000
SM 37,BRU Instructions,176
SM 31,RegistersWrites,0
SM 61,RegistersWrites,0
SM 47,IMU Instructions,40
SM 51,LDS Instructions,48
Config.DPU,ExecutionLatency,15
SM 59,IMU Instructions,104
SM 21,IMU Instructions,168
SM 77,DPU Instructions,0
SM 44,InstructionsPerCycle,0
SM 61,DPU Instructions,0
SM 79,RegistersWrites,0
SM 13,SPU Instructions,0
SM 59,RegistersWrites,0
SM 71,Cycles,101457
SM 2,BRU Instructions,152
SM 65,RegistersWrites,0
SM 60,IMU Instructions,104
SM 63,BRU Instructions,96
SM 67,IMU Instructions,88
SM 67,RegistersReads,0
SM 2,BlockCount,2
SM 82,SFU Instructions,552
SM 51,RegistersWrites,0
SM 9,SPU Instructions,0
SM 24,BlockCount,2
SM 34,DPU Instructions,24
SM 31,LDS Instructions,104
SM 9,RegistersReads,0
SM 27,Cycles,101457
SM 19,BRU Instructions,272
SM 64,BRU Instructions,96
SM 66,SPU Instructions,0
SM 76,IMU Instructions,88
Config.SPU,ExecutionBufferSize,1
SM 14,LDS Instructions,88
SM 4,IMU Instructions,136
SM 82,Cycles,101457
SM 47,RegistersWrites,0
SM 7,SFU Instructions,800
SM 7,BRU Instructions,152
SM 62,RegistersWrites,0
SM 52,SPU Instructions,0
SM 48,LDS Instructions,48
SM 56,BlockCount,1
SM 66,SFU Instructions,552
SM 1,RegistersReads,0
SM 27,BlockCount,2
Config.SFU,ExecutionLatency,1
SM 21,InstructionsPerCycle,0
SM 35,BlockCount,2
SM 71,DPU Instructions,0
SM 17,BlockCount,2
SM 28,BRU Instructions,296
SM 56,IMU Instructions,104
SM 63,IMU Instructions,104
SM 46,Cycles,101457
SM 79,InstructionsPerCycle,0
SM 5,LDS Instructions,88
SM 80,IMU Instructions,88
SM 78,RegistersReads,0
SM 6,RegistersWrites,0
SM 25,Cycles,101457
SM 22,RegistersWrites,0
SM 13,BlockCount,2
SM 28,IMU Instructions,208
SM 10,LDS Instructions,88
SM 28,SPU Instructions,0
SM 10,RegistersReads,0
SM 43,BRU Instructions,176
SM 55,BRU Instructions,96
SM 56,SFU Instructions,536
SM 81,BRU Instructions,96
Config.FrontEnd,FetchBufferSize,10
SM 75,BRU Instructions,96
SM 14,InstructionsPerCycle,0
SM 44,BlockCount,1
SM 72,RegistersReads,0
SM 10,IMU Instructions,136
SM 6,BlockCount,2
SM 31,InstructionsPerCycle,0
SM 66,DPU Instructions,0
SM 23,SFU Instructions,1000
SM 79,BlockCount,1
SM 50,RegistersWrites,0
SM 81,DPU Instructions,0
SM 37,LDS Instructions,96
SM 15,RegistersWrites,0
SM 39,SPU Instructions,0
SM 8,RegistersWrites,0
SM 54,BRU Instructions,96
SM 53,Cycles,101457
SM 45,SPU Instructions,0
SM 45,Cycles,101457
SM 38,DPU Instructions,24
SM 17,RegistersWrites,0
SM 76,BlockCount,1
SM 32,DPU Instructions,24
SM 8,InstructionsPerCycle,0
SM 45,RegistersWrites,0
SM 14,RegistersWrites,0
SM 44,LDS Instructions,48
SM 16,RegistersReads,0
SM 28,DPU Instructions,24
SM 64,InstructionsPerCycle,0
SM 19,BlockCount,2
SM 31,IMU Instructions,208
SM 81,Cycles,101457
SM 36,RegistersReads,0
SM 2,RegistersReads,0
SM 36,LDS Instructions,96
SM 47,LDS Instructions,48
SM 46,BlockCount,1
SM 33,LDS Instructions,96
SM 11,IMU Instructions,136
SM 14,IMU Instructions,96
SM 38,RegistersWrites,0
