Section,Stat,Value
SM 8,BlockCount,23
SM 33,SFU Instructions,10873
SM 25,InstructionsPerCycle,0
SM 19,RegistersReads,0
SM 15,DPU Instructions,48
SM 20,SFU Instructions,10844
Config.FrontEnd,MaxInstDispatchedPerType,2
SM 2,IMU Instructions,1779
SM 1,BRU Instructions,2280
SM 37,InstructionsPerCycle,0
SM 12,LDS Instructions,1056
SM 30,Cycles,62957
Config.DPU,NumSPULanes,32
SM 9,BlockCount,23
SM 27,BRU Instructions,2104
SM 21,InstructionsPerCycle,0
SM 43,Cycles,62957
SM 34,LDS Instructions,1048
SM 11,BRU Instructions,2280
SM 38,LDS Instructions,1064
SM 44,RegistersReads,0
SM 18,RegistersWrites,0
Config.DPU,DispatchBufferSize,2
SM 40,LDS Instructions,1064
SM 40,Cycles,62957
SM 29,SFU Instructions,10929
SM 0,InstructionsPerCycle,0
SM 16,LDS Instructions,1056
SM 21,DPU Instructions,48
SM 45,IMU Instructions,1731
SM 12,IMU Instructions,1676
SM 24,BRU Instructions,2224
SM 2,BlockCount,23
SM 31,Cycles,62957
SM 24,BlockCount,22
SM 6,RegistersReads,0
SM 12,BRU Instructions,2160
SM 31,SFU Instructions,10929
SM 4,SFU Instructions,11381
SM 3,SFU Instructions,11381
SM 8,InstructionsPerCycle,0
SM 5,IMU Instructions,1779
SM 4,SPU Instructions,0
SM 18,LDS Instructions,1056
SM 28,BlockCount,22
SM 7,Cycles,62957
SM 31,RegistersReads,0
SM 34,IMU Instructions,1663
SM 35,InstructionsPerCycle,0
SM 37,RegistersWrites,0
SM 19,BlockCount,22
SM 8,Cycles,62957
SM 3,RegistersWrites,0
SM 13,RegistersReads,0
SM 15,IMU Instructions,1676
SM 40,IMU Instructions,1731
SM 40,RegistersReads,0
SM 42,IMU Instructions,1731
SM 43,DPU Instructions,72
SM 4,LDS Instructions,1104
SM 45,BlockCount,22
SM 31,InstructionsPerCycle,0
SM 43,RegistersReads,0
SM 34,BlockCount,22
SM 23,BRU Instructions,2224
SM 27,DPU Instructions,72
SM 23,SFU Instructions,11165
SM 11,Cycles,62957
SM 0,DPU Instructions,72
SM 41,SFU Instructions,11133
SM 0,BlockCount,23
SM 32,SPU Instructions,0
SM 41,IMU Instructions,1731
SM 5,InstructionsPerCycle,0
Config.SPU,ExecutionLatency,1
SM 44,IMU Instructions,1731
SM 32,RegistersWrites,0
Config.SFU,ExecutionLatency,1
SM 16,InstructionsPerCycle,0
SM 22,InstructionsPerCycle,0
SM 26,BRU Instructions,2104
SM 33,BlockCount,22
SM 5,SFU Instructions,11381
SM 3,BRU Instructions,2280
SM 15,SPU Instructions,0
Config.IMU,Width,1
SM 25,RegistersWrites,0
SM 27,SPU Instructions,0
SM 14,RegistersReads,0
SM 4,BlockCount,23
SM 15,Cycles,62957
SM 27,Cycles,62957
SM 29,DPU Instructions,72
SM 3,SPU Instructions,0
SM 41,SPU Instructions,0
Config.SPU,Width,1
Config.BRU,WriteBufferSize,5
SM 3,DPU Instructions,72
SM 29,SPU Instructions,0
SM 7,IMU Instructions,1763
SM 31,BRU Instructions,2104
SM 41,BRU Instructions,2224
SM 25,LDS Instructions,1056
SM 10,BRU Instructions,2280
Config.DPU,ReadBufferSize,15
SM 44,SFU Instructions,11133
SM 11,DPU Instructions,72
SM 2,SPU Instructions,0
SM 15,RegistersReads,0
SM 23,RegistersReads,0
SM 26,SFU Instructions,10929
SM 18,BlockCount,22
SM 4,Cycles,62957
SM 13,InstructionsPerCycle,0
SM 26,RegistersReads,0
SM 43,SFU Instructions,11133
SM 30,IMU Instructions,1703
SM 29,IMU Instructions,1703
SM 41,RegistersReads,0
Config.LSU,WriteLatency,1
SM 24,LDS Instructions,1056
SM 39,BRU Instructions,2224
SM 32,InstructionsPerCycle,0
SM 15,InstructionsPerCycle,0
SM 28,DPU Instructions,72
SM 6,RegistersWrites,0
SM 1,LDS Instructions,1104
SM 35,DPU Instructions,72
SM 27,RegistersWrites,0
SM 31,RegistersWrites,0
SM 45,RegistersReads,0
SM 26,LDS Instructions,1048
SM 7,SFU Instructions,11397
SM 12,InstructionsPerCycle,0
Config.LSU,Width,1
SM 12,RegistersWrites,0
Config.SFU,NumSPULanes,32
SM 20,RegistersReads,0
SM 14,Cycles,62957
SM 21,RegistersWrites,0
SM 42,Cycles,62957
Config.LSU,ReadBufferSize,1
SM 7,BRU Instructions,2280
SM 19,InstructionsPerCycle,0
SM 30,SFU Instructions,10929
Config.BRU,DispatchBufferSize,2
SM 10,SFU Instructions,11397
Config.LSU,DispatchBufferSize,2
SM 10,LDS Instructions,1104
SM 4,RegistersWrites,0
SM 18,SFU Instructions,10844
Config.LSU,ReadLatency,1
SM 7,RegistersReads,0
SM 39,IMU Instructions,1731
SM 13,BlockCount,22
SM 37,BlockCount,22
SM 1,RegistersWrites,0
Config.SM,NumRegisters,65536
SM 20,LDS Instructions,1056
Config.BRU,ReadLatency,5
SM 4,IMU Instructions,1779
SM 24,IMU Instructions,1779
SM 45,InstructionsPerCycle,0
Config.DPU,WriteLatency,12
SM 6,BlockCount,23
SM 3,LDS Instructions,1104
SM 9,LDS Instructions,1104
SM 15,SFU Instructions,10580
SM 2,BRU Instructions,2280
SM 32,RegistersReads,0
SM 15,RegistersWrites,0
SM 22,DPU Instructions,72
SM 35,BRU Instructions,2104
SM 20,DPU Instructions,48
SM 25,Cycles,62957
SM 9,BRU Instructions,2280
SM 26,RegistersWrites,0
SM 34,RegistersWrites,0
SM 10,RegistersReads,0
Config.LSU,WriteBufferSize,1
SM 24,RegistersWrites,0
SM 30,DPU Instructions,72
Config.BRU,ReadBufferSize,5
SM 19,SPU Instructions,0
SM 20,IMU Instructions,1740
SM 30,RegistersWrites,0
SM 27,InstructionsPerCycle,0
SM 15,BlockCount,22
SM 24,SFU Instructions,11165
SM 17,InstructionsPerCycle,0
Config.FrontEnd,DispatchLatency,2
